# Example Wireshark CSV format for testing
# This simulates what Wireshark exports

frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,frame.len,ip.len,udp.srcport,udp.dstport
1,0.000000,192.168.1.100,142.250.185.46,6,54321,443,0x00000002,74,60,,,
2,0.001234,142.250.185.46,192.168.1.100,6,443,54321,0x00000012,74,60,,,
3,0.002456,192.168.1.100,142.250.185.46,6,54321,443,0x00000010,1514,1500,,,
4,0.003678,142.250.185.46,192.168.1.100,6,443,54321,0x00000010,1514,1500,,,
5,0.004890,192.168.1.100,8.8.8.8,17,,,,,60,54123,53
6,0.005123,8.8.8.8,192.168.1.100,17,,,,,120,53,54123
7,0.006345,192.168.1.100,142.250.185.46,6,54321,443,0x00000010,512,498,,,
8,0.007567,142.250.185.46,192.168.1.100,6,443,54321,0x00000010,512,498,,,
9,0.008789,192.168.1.100,142.250.185.46,6,54321,443,0x00000011,74,60,,,
10,0.009012,142.250.185.46,192.168.1.100,6,443,54321,0x00000011,74,60,,,
